"~id","~labels","quantities::NetVolume::kind","quantities::Length::kind","quantities::Width::value","quantities::NetSideArea::value","name","quantities::NetVolume::value","id","quantities::Width::kind","quantities::NetSideArea::kind","quantities::Length::value","properties::LoadBearing::kind","properties::Status::kind","properties::IsExternal::kind","properties::Status::enumeration_name","properties::LoadBearing::value","properties::IsExternal::value","properties::Status::domain","properties::Status::value","quantities::CrossSectionArea::kind","quantities::CrossSectionArea::value","predefined_type","code","scheme_id","uri","properties::ConstructionMethod::kind","properties::ConstructionMethod::value"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:0","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.0000000000498,3.7284567106731448,"Qto_WallBaseQuantities",0.7456913421348146,"16mzz5kV15mAyMAccFRkj4","IfcQuantityLength","IfcQuantityArea",1299.9999999999152,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1","IfcPropertySet;PSET",,,,,"Pset_WallCommon",,"3UegLqoYrB5QLJ1Fl0C0gk",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:2","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",200.00000000007506,15.222870132019404,"Qto_WallBaseQuantities",3.044574026405024,"3BkYHDW2b4LxsPRJLXlKa9","IfcQuantityLength","IfcQuantityArea",3900.000000000167,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:3","IfcPropertySet;PSET",,,,,"Pset_RoofCommon",,"3IC75ptmHAcfynDO0H7l6Q",,,,,"EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>",,"true","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:4","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"2ups0JG6n1VvC4pdB0zluW",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:5","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.05400000000000011,"2HMsp_L9P6I8CwQ6HNOQ_0",,,2699.9999999999427,,,,,,,,,"IfcQuantityArea",0.020000000000000465,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:6","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"00EBcbCmP36Q43kDOMVxR1",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:7","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.1160000000000022,"28d0zpbA1FDgNVOoP3DC9B",,,5799.999999999974,,,,,,,,,"IfcQuantityArea",0.02000000000000047,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:8","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"0fB$YzpQ9F5fXAwW3qqCyT",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:9","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.011999999999998965,"30SHzCjOj6gPOjYeg44wl2",,,599.9999999999343,,,,,,,,,"IfcQuantityArea",0.020000000000000465,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:10","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"0PBH0wkMXC_RjGQReUd5h1",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:11","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.08000000000000046,"0kLKoeMc5BnhcvmJ1GtKjL",,,3999.9999999999313,,,,,,,,,"IfcQuantityArea",0.02000000000000046,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:12","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"2QF6RwHpj16gEJ1wh5SKZA",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:13","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.11600000000000217,"0dIg8JLuXAjP9eWTNPMJjH",,,5799.999999999974,,,,,,,,,"IfcQuantityArea",0.020000000000000465,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:14","IfcPropertySet;PSET",,,,,"Pset_BeamCommon",,"1l$mN4mE5EtgtEWbu7EEvJ",,,,"SingleValue","EnumeratedValue","SingleValue","#<BimTools::IfcManager::Types::IfcLabel:0x000001cc1a1a45b8>","true","false","['NEW','EXISTING','DEMOLISH','TEMPORARY','OTHER','NOTKNOWN','UNSET']","UNSET",,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:15","IfcElementQuantity;QSET","IfcQuantityVolume","IfcQuantityLength",,,"Qto_BeamBaseQuantities",0.11600000000000223,"3wSFIICx575gqnRY4FYR_E",,,5799.999999999974,,,,,,,,,"IfcQuantityArea",0.020000000000000472,,,,,,
